SMS,receive,AirtelERC,AirtelERC,05/09/2014 07:41,11,HAM,Txn Id R140905.0740.210100 to recharge 90 NGN from 7087214890 is successful. New balance is 90.17 NGN, validity till 0 & grace till 0.To see Airtime Bonus,pls call *223#.,,
SMS,receive,AirtelERC,AirtelERC,03/09/2014 19:44,11,HAM,s,pls call *223#.,,,
SMS,receive,AirtelERC,AirtelERC,03/09/2014 19:42,11,HAM,Txn Id R140903.1941.210206 to recharge 90 NGN from 7087214890 is successful. New balance is 90.23 NGN, validity till 0 & grace till 0.To see Airtime Bonu,,,
SMS,receive,AirtelERC,AirtelERC,02/09/2014 20:11,11,HAM,Txn Id R140902.2010.210293 to recharge 90 NGN from 7087214890 is successful. New balance is 91.19 NGN, validity till 0 & grace till 0.To see Airtime Bonus,pls call *223#.,,
SMS,receive,AirtelERC,AirtelERC,02/09/2014 08:47,11,HAM,Txn Id R140902.0846.210119 to recharge 90 NGN from 7087214890 is successful. New balance is 91.51 NGN, validity till 0 & grace till 0.To see Airtime Bonus,pls call *223#.,,
SMS,receive,AirtelERC,AirtelERC,01/09/2014 13:30,11,HAM,Txn Id R140901.1329.220035 to recharge 90 NGN from 7087214890 is successful. New balance is 90.01 NGN, validity till 0 & grace till 0.To see Airtime Bonus,pls call *223#.,,
SMS,receive,ExtraCredit,ExtraCredit,05/09/2014 07:40,10,HAM,Dear Customer, you have been credited with 90N. Please recharge by 08/09/2014 to repay this amount.,,,
SMS,receive,ExtraCredit,ExtraCredit,02/09/2014 08:46,10,HAM,Dear Customer, you have been credited with 90N. Please recharge by 05/09/2014 to repay this amount.,,,
SMS,receive,ExtraCredit,ExtraCredit,01/09/2014 13:29,10,HAM,Dear Customer, you have been credited with 90N. Please recharge by 04/09/2014 to repay this amount.,,,
SMS,receive,Extracredit,Extracredit,05/09/2014 07:33,14,HAM,Dear Customer, N100 has been deducted from your account. Your loan is now fully settled.,,,
SMS,receive,Extracredit,Extracredit,03/09/2014 19:30,14,HAM,Dear Customer, N100 has been deducted from your account. Your loan is now fully settled.,,,
SMS,receive,Extracredit,Extracredit,02/09/2014 19:58,14,HAM,Dear Customer, N100 has been deducted from your account. Your loan is now fully settled.,,,
SMS,receive,Extracredit,Extracredit,01/09/2014 18:50,14,HAM,Dear Customer, N100 has been deducted from your account. Your loan is now fully settled.,,,
SMS,receive,792,792,03/09/2014 19:21,19,SPAM,Rock with the top 10 hits in Naija today. Dial 7911. Its free to call!,,,,
SMS,receive,Airtel NG,Airtel NG,03/09/2014 16:21,13,HAM,Enjoy 5days of UNLIMITED Airtel-2-Airtel Night calls and make calls to other networks at 10k/sec from 11pm - 5am for JUST N100. Dial *786*10# NOW,,,,
SMS,receive,Airtel NG,Airtel NG,01/09/2014 18:36,13,HAM,Enjoy 5days of UNLIMITED Airtel-2-Airtel Night calls and make calls to other networks at 10k/sec from 11pm - 5am for JUST N100. Dial *786*10# NOW,,,,
SMS,send,2.35E+12,2.35E+12,02/09/2014 15:14,18,HAM,It won't sound good at all if I didn't inform him before giving his contact out. Its better for me to tell him first and he called me in d morning,so I believe he will still call me later,,,
SMS,receive,2.35E+12,2.35E+12,02/09/2014 15:05,18,HAM,Plz send me d numba of d man,very urgent plz,,,
