SMS,receive,3036,3036,28/08/2014 11:50,171,SPAM,Your call to 081XXXXXX72 for 54 secs cost NGN 10.80. Your balance is NGN 5.72.Dial *0805*25# for Jolof bundle of 2 onnet+1 offnet Min+3 Onnet SMS for N25 only,,,,,,
SMS,receive,2.35E+12,2.35E+12,28/08/2014 11:33,124,HAM,Baby, where u ryt now.i am stil in school ,,,,,
SMS,receive,2.35E+12,2.35E+12,27/08/2014 23:09,124,HAM,A special smile: a special faceMy special M.J i cant replace...,,,,,,
SMS,receive,2.35E+12,2.35E+12,26/08/2014 06:45,124,HAM,Sup cutest,i saw ur missed call very late @night ma binu for not pickg up. U get paper 2dai, ryt? jes lyk me too.4m d bottom of ma hrt, i wish u d best,,,
SMS,receive,2.35E+12,2.35E+12,25/08/2014 13:05,124,HAM,i wanna tak my bath and giv an hints relatin to tomorrow's paper to my colleagues @ school.its lyk am even late alredy, ...cal u later,,,,,
SMS,receive,2.35E+12,2.35E+12,25/08/2014 07:45,124,HAM,Never say goodbye to someone who loves you,Never say thanks to who realy needs you,Neva blame a person who realy trusts you,Neva forget that guy who thinks of you as life.best of luck in your endeavours,and do av a splendid day prinxess,,
SMS,receive,2.35E+12,2.35E+12,23/08/2014 18:37,124,HAM,...i'll call you around 9post meridian tonight,stay tuned ,,,,,
SMS,receive,2.35E+12,2.35E+12,22/08/2014 21:58,124,HAM,Tak a very gud kia of ursef,remi cares,,,,,
SMS,receive,2.35E+12,2.35E+12,21/08/2014 22:24,124,HAM,It is more than pen+brain,it is knowledge.It is more than read+pass,it is understanding.It is more than cram+pour,it is retentive  memory.i wish u d gifts of knowledge,understanding,wisdom and luck throughout ur exam period.Go and excel,M.J my lil cinderella
SMS,receive,2.35E+12,2.35E+12,17/08/2014 14:21,124,HAM,i kno sey even if na crawl u dey crawl all d way 4m ijebu,u go don land 4 abk.buh u dnt wanna cal cuz of ma packages that ar stil in ur possession...lolz.op u ad a 9ice trip,Princess?,,,,
SMS,receive,2.35E+12,2.35E+12,15/08/2014 22:28,124,HAM,i dunno ma credit iz abt 2b exhausted.wot i av left on ma phone iznt up to #20 agan n thats y i cudnt 're-call'.i'll surely dream of M.J,d most sumptuos starlet on ds planet n its nt bad if u alxo mak me awake in ur dream too.slip tyt,,,,,
